"Additional id should not be empty","Dodatkowy identyfikator nie powinien być pusty"
"Enable Cache for Not Default Currencies","Włącz pamięć podręczną dla walut, które nie są ustawione jako domyślne"
"Enable Highlight on Dynamic Blocks While Generating","Włączenie podświetlenie bloków dynamicznych podczas generowania"
"Enable Page Cache Auto Generation","Włącz automatyczne generowanie pamięci podręcznej stron"
"Full Page Cache Settings","Ustawienia pamięci pełnych stron (full page cache)"
"Max. Allowed Page Depth","Maksymalna dozwolona głębokość strony"
"Max. Cache Size (Mb)","Maksymalny rozmiar pamięci podręcznej (Mb)"
"Note that to fully restrict cookies, full page caching must be disabled as well.","Należy pamiętać o pełnym ograniczeniu ciasteczek, a pamięć pełnych stron (full page cache) powinna być wyłączona."
